VendorId,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,fare_amount,extra,tip_amount,improvement_surcharge,total_amount
1,2024-01-04T11:40:46.000,2024-01-04T12:08:08.000,1,1.1,16.5,0.0,0.0,1.0,18.0
2,2024-01-01T18:36:57.000,2024-01-01T19:13:43.000,2,20.5,70.0,0.0,0.0,1.0,82.69
2,2024-01-11T09:02:12.000,2024-01-11T09:21:20.000,1,2.85,19.1,0.0,4.62,1.0,27.72
2,2024-01-06T19:06:36.000,2024-01-06T19:24:38.000,1,2.32,17.0,0.0,0.0,1.0,21.0
2,2024-01-26T18:02:16.000,2024-01-26T18:17:22.000,1,2.06,14.9,2.5,2.14,1.0,23.54
2,2024-01-03T12:09:37.000,2024-01-03T12:56:50.000,1,21.59,84.2,0.0,25.71,1.0,113.16
1,2024-01-17T17:38:16.000,2024-01-17T19:07:00.000,1,13.1,43.5,0.0,0.0,1.0,45.0
1,2024-01-28T00:02:15.000,2024-01-28T00:24:30.000,1,6.0,27.5,3.5,7.9,1.0,47.34
2,2024-01-28T11:03:23.000,2024-01-28T11:09:04.000,1,0.72,7.2,0.0,0.0,1.0,11.2
2,2024-01-16T11:35:34.000,2024-01-16T11:53:25.000,1,0.76,15.6,0.0,3.92,1.0,23.52
1,2024-01-13T21:30:11.000,2024-01-13T21:36:14.000,1,0.7,6.5,3.5,1.5,1.0,13.0
2,2024-01-24T16:31:03.000,2024-01-24T17:06:34.000,5,3.37,29.6,2.5,7.22,1.0,43.32
1,2024-01-18T14:12:40.000,2024-01-18T14:28:05.000,2,1.4,12.1,2.5,0.0,1.0,16.1
2,2024-01-17T07:49:41.000,2024-01-17T07:58:45.000,1,1.4,10.7,0.0,2.94,1.0,17.64
2,2024-01-30T20:41:06.000,2024-01-30T21:08:51.000,1,9.58,41.5,1.0,6.0,1.0,50.0
1,2024-01-24T19:02:53.000,2024-01-24T19:33:07.000,1,3.3,24.7,5.0,6.25,1.0,37.45
